source,target
"Yemek lezzetlimi lezzetli, tabakları sıyırırız.","Yemek lezzetli mi lezzetli, tabakları sıyırırız."
"Tatil dinlendiricimi dinlendirici, tüm yorgunluğumuzu attık.","Tatil dinlendirici mi dinlendirici, tüm yorgunluğumuzu attık."
Yeni bir dil öğrenmek seni heyecanlandırıyormu?,Yeni bir dil öğrenmek seni heyecanlandırıyor mu?
"Film uzunmu uzun, ara vermeden izlenmez.","Film uzun mu uzun, ara vermeden izlenmez."
"Yoksa sen, bu koşuşturmacanın içinde bir dengemi buldun, şehrin enerjisinden, hızından, dinamizminden güç alıyormusun, bu hızlı tempo senin doğanmı, yoksa ara sıra mola vermek, yavaşlamak, etrafına bakmak, yaşa mı derinlemesine hissetmek istiyormusun?","Yoksa sen, bu koşuşturmacanın içinde bir denge mi buldun, şehrin enerjisinden, hızından, dinamizminden güç alıyor musun, bu hızlı tempo senin doğan mı, yoksa ara sıra mola vermek, yavaşlamak, etrafına bakmak, yaşamı derinlemesine hissetmek istiyor musun?"
"Şehir kalabalıkmı kalabalık, adım atacak yer yok.","Şehir kalabalık mı kalabalık, adım atacak yer yok."
"Yaz sıcakmı sıcak, gölgede durmak bile yet miyor.","Yaz sıcak mı sıcak, gölgede durmak bile yetmiyor."
O şarkıyı dinlerken hüzünleniyormusun?,O şarkıyı dinlerken hüzünleniyor musun?
Seyahat etmek senin için bir tutkumu?,Seyahat etmek senin için bir tutku mu?
"Yolda mola verecekmiyiz, yoksa direktmi gitmeyi planlıyoruz?","Yolda mola verecek miyiz, yoksa direkt mi gitmeyi planlıyoruz?"
Bu oyunu oynarken zamanın nasıl geçtiğini hissediyormusun?,Bu oyunu oynarken zamanın nasıl geçtiğini hissediyor musun?
"Arkadaşlarla buluşmak için hangi gün uygun, cumamı, yoksa cumartesimi?","Arkadaşlarla buluşmak için hangi gün uygun, cuma mı, yoksa cumartesi mi?"
Sen de bu kitabı çok seviyormusun?,Sen de bu kitabı çok seviyor musun?
Bu kadar çok kitap okumak seni yoruyormu?,Bu kadar çok kitap okumak seni yoruyor mu?
Gökyüzü her zaman bu kadar mavimi?,Gökyüzü her zaman bu kadar mavi mi?
"Orman sessizmi sessiz, sadece kuş sesleri duyuluyor.","Orman sessiz mi sessiz, sadece kuş sesleri duyuluyor."
"Yemeği kimin yapacağına karar verdikmi, yoksa hala kararsızmıyız?","Yemeği kimin yapacağına karar verdik mi, yoksa hala kararsız mıyız?"
"Ay ışığı altında dolaşırken, eski zamanlardaki gibi mektup yazmayı düşündünmü hiç, kelimelerin kağıda dokunuşu seni heyecanlandırırmı, yoksa bu eski moda bir yöntemmi geldi sana?","Ay ışığı altında dolaşırken, eski zamanlardaki gibi mektup yazmayı düşündün mü hiç, kelimelerin kağıda dokunuşu seni heyecanlandırır mı, yoksa bu eski moda bir yöntem mi geldi sana?"
Spor yapmak seni daha enerjikmi yapıyor?,Spor yapmak seni daha enerjik mi yapıyor?
"Alışveriş için ne alacağımızı listeledikmi, yoksa spontanemi bir alışveriş yapacağız?","Alışveriş için ne alacağımızı listeledik mi, yoksa spontane mi bir alışveriş yapacağız?"
"Film sürükleyicimi sürükleyici, gözleri mi ekrandan alamadım.","Film sürükleyici mi sürükleyici, gözlerimi ekrandan alamadım."
Akşam yemeğinde ne yemeyi düşünüyorsun?,Akşam yemeğinde ne yemeyi düşünüyorsun?
Sabahları erken kalkmak zormu geliyor?,Sabahları erken kalkmak zor mu geliyor?
"Hava nasıl olacak diye sürekli kontrol ediyor muyuz, yoksa sadece güneşlimi olacak diye umut ediyoruz?","Hava nasıl olacak diye sürekli kontrol ediyor muyuz, yoksa sadece güneşli mi olacak diye umut ediyoruz?"
"Akşam serinmi serin, hafif bir hırka gerek.","Akşam serin mi serin, hafif bir hırka gerek."
"Kitap güzelmi güzel, bir solukta bitiverir.","Kitap güzel mi güzel, bir solukta bitiverir."
